GO_ID	ALT_ID	Root_GO	GO_name	GO_desc	Ancestors
GO:0000097	NA	Biological Process	sulfur amino acid biosynthetic process	"The chemical reactions and pathways resulting in the formation of amino acids containing sulfur, comprising cysteine, methionine and selenocysteine." [GOC:ai]	GO:0009987;GO:0008152;GO:0006790;GO:0044281;GO:0006082;GO:0043436;GO:0019752;GO:0000096;GO:0009058;GO:0044272;GO:0044283;GO:0016053;GO:0046394;GO:0000097
GO:0000098	NA	Biological Process	sulfur amino acid catabolic process	"The chemical reactions and pathways resulting in the breakdown of amino acids containing sulfur, comprising cysteine, methionine and selenocysteine." [GOC:ai]	GO:0009987;GO:0008152;GO:0006790;GO:0044281;GO:0006082;GO:0043436;GO:0019752;GO:0000096;GO:0009056;GO:0044248;GO:0044273;GO:0044282;GO:0016054;GO:0046395;GO:0000098
GO:0000099	NA	Molecular Function	sulfur amino acid transmembrane transporter activity	"Enables the transfer of sulfur amino acids from one side of a membrane to the other. Sulphur amino acids contain sulfur in the form of cystine, methionine or their derivatives." [GOC:ai, GOC:mtg_transport, ISBN:0815340729]	GO:0005215;GO:0051179;GO:0051234;GO:0006810;GO:0009987;GO:0055085;GO:0022857;GO:0015849;GO:1903825;GO:0005342;GO:0015711;GO:0008514;GO:0046942;GO:1905039;GO:0046943;GO:1901682;GO:0000099
GO:0000100	GO:0015178	Molecular Function	S-methylmethionine transmembrane transporter activity	"Enables the transfer of S-methylmethionine from one side of a membrane to the other." [GOC:ai]	GO:0005215;GO:0051179;GO:0051234;GO:0006810;GO:0009987;GO:0055085;GO:0022857;GO:0071705;GO:0072337;GO:0072349;GO:1901682;GO:0072348;GO:0015806;GO:0000100
GO:0000101	NA	Biological Process	sulfur amino acid transport	"The directed movement of amino acids containing sulfur (cystine, methionine and their derivatives) into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore." [GOC:ai]	GO:0051179;GO:0051234;GO:0006810;GO:0015711;GO:0015849;GO:0046942;GO:0071705;GO:0072348;GO:0000101
GO:0000102	NA	Molecular Function	L-methionine secondary active transmembrane transporter activity	"Enables the transfer of L-methionine from one side of a membrane to the other, up its concentration gradient. The transporter binds the solute and undergoes a series of conformational changes. Transport works equally well in either direction and is driven by a chemiosmotic source of energy. Secondary active transporters include symporters and antiporters." [GOC:mtg_transport]	GO:0005215;GO:0051179;GO:0051234;GO:0006810;GO:0009987;GO:0055085;GO:0022857;GO:0006865;GO:0003333;GO:0015171;GO:0015804;GO:0015175;GO:0022804;GO:0015291;GO:0005294;GO:0015849;GO:1903825;GO:0005342;GO:0015711;GO:0008514;GO:0046942;GO:1905039;GO:0046943;GO:0071705;GO:0015807;GO:1902475;GO:0015179;GO:1901682;GO:0000099;GO:0015695;GO:0015101;GO:0072348;GO:0000101;GO:0015821;GO:0043865;GO:0015191;GO:0000102
GO:0000103	GO:0019378	Biological Process	sulfate assimilation	"The pathways by which inorganic sulfate is processed and incorporated into sulfated compounds." [GOC:jl]	GO:0009987;GO:0008152;GO:0006790;GO:0000103
GO:0000104	GO:0019739	Molecular Function	succinate dehydrogenase activity	"Catalysis of the reaction: succinate + acceptor = fumarate + reduced acceptor." [RHEA:16357]	GO:0003824;GO:0016491;GO:0016627;GO:0000104
GO:0000105	NA	Biological Process	L-histidine biosynthetic process	"The chemical reactions and pathways resulting in the formation of L-histidine, 2-amino-3-(1H-imidazol-4-yl)propanoic acid." [GOC:go_curators]	GO:0009987;GO:0008152;GO:0044238;GO:0006520;GO:0044281;GO:0006082;GO:0043436;GO:0019752;GO:0009072;GO:0052803;GO:1901605;GO:0170033;GO:0170039;GO:0006547;GO:0009058;GO:0044283;GO:0016053;GO:0046394;GO:0009073;GO:0008652;GO:1901607;GO:0170034;GO:0170038;GO:0000105
GO:0000107	NA	Molecular Function	imidazoleglycerol-phosphate synthase activity	"Catalysis of the reaction: phosphoribulosylformimino-AICAR-P + L-glutamine = D-erythro-imidazole-glycerol-phosphate + aminoimidazole carboxamide ribonucleotide + L-glutamate + 2 H+." [RHEA:24793]	GO:0003824;GO:0016740;GO:0016757;GO:0016763;GO:0000107
GO:0000108	NA	Cellular Component	obsolete repairosome	"OBSOLETE. A stable complex of proteins that carry out the DNA damage recognition and incision reactions characteristic of nucleotide excision repair (NER), such as DNA damage recognition, DNA helix unwinding, and endonucleolytic cleavage at sites flanking damaged DNA; includes TFIIH subunits and additional polypeptides; may form in the absence of DNA damage." [PMID:10681587, PMID:9852079]	GO:0000108
GO:0000109	NA	Cellular Component	nucleotide-excision repair complex	"Any complex formed of proteins that act in nucleotide-excision repair." [PMID:10915862]	GO:0032991;GO:0110165;GO:0043226;GO:0043227;GO:0005622;GO:0043229;GO:0043231;GO:0005634;GO:0140513;GO:0000109
GO:0000110	NA	Cellular Component	nucleotide-excision repair factor 1 complex	"One of several protein complexes involved in nucleotide-excision repair; possesses DNA damage recognition and endodeoxynuclease activities. In S. cerevisiae, it is composed of Rad1p, Rad10p, and Rad14p; in human the subunits are ERCC4/XPF, ERCC1 and XPA, respectively." [PMID:10915862]	GO:0032991;GO:0110165;GO:0043226;GO:0043227;GO:0005622;GO:0043229;GO:0043231;GO:0005634;GO:0140513;GO:0000109;GO:0000110
GO:0000111	NA	Cellular Component	nucleotide-excision repair factor 2 complex	"One of several protein complexes involved in nucleotide-excision repair; possesses damaged DNA binding activity. In S. cerevisiae, it is composed of Rad4p and Rad23p." [PMID:10915862]	GO:0032991;GO:0110165;GO:0043226;GO:0043227;GO:0005622;GO:0043229;GO:0043231;GO:0005634;GO:0140513;GO:0000109;GO:0000111
GO:0000112	NA	Cellular Component	nucleotide-excision repair factor 3 complex	"One of several protein complexes involved in nucleotide-excision repair; possesses endodeoxynuclease and DNA helicase activities. In S. cerevisiae, it is composed of Rad2p and the core TFIIH-Ssl2p complex (core TFIIH is composed of Rad3p, Tfb1p, Tfb2p, Ssl1p, Tfb4p and Tfb5p. Note that Ssl2p is also called Rad25p)." [GOC:ew, PMID:10915862, PMID:14500720, PMID:7813015]	GO:0032991;GO:0110165;GO:0043226;GO:0043227;GO:0005622;GO:0043229;GO:0043231;GO:0005634;GO:0140513;GO:0000109;GO:0000112
GO:0000113	NA	Cellular Component	nucleotide-excision repair factor 4 complex	"One of several protein complexes involved in nucleotide-excision repair; possesses DNA damage recognition and DNA-dependent ATPase activities. In S. cerevisiae, it is composed of Rad7p and Rad16p." [PMID:10915862]	GO:0032991;GO:0110165;GO:0043226;GO:0043227;GO:0005622;GO:0043229;GO:0043231;GO:0005634;GO:0140513;GO:0000109;GO:0000113
GO:0000114	NA	Biological Process	obsolete regulation of transcription involved in G1 phase of mitotic cell cycle	"OBSOLETE. Any process that regulates transcription such that the target genes are transcribed as part of the G1 phase of the mitotic cell cycle." [GOC:dph, GOC:mah, GOC:tb]	GO:0000114
GO:0000115	NA	Biological Process	obsolete regulation of transcription involved in S phase of mitotic cell cycle	"OBSOLETE. A cell cycle process that regulates transcription such that the target genes are transcribed as part of the S phase of the mitotic cell cycle." [GOC:dph, GOC:mah, GOC:tb]	GO:0000115
GO:0000116	NA	Biological Process	obsolete regulation of transcription involved in G2-phase of mitotic cell cycle	"OBSOLETE. Any process that regulates transcription such that the target genes are transcribed as part of the G2 phase of the mitotic cell cycle." [GOC:dph, GOC:mah, GOC:tb]	GO:0000116
GO:0000117	NA	Biological Process	obsolete regulation of transcription involved in G2/M transition of mitotic cell cycle	"OBSOLETE. Any process that regulates transcription such that the target genes are transcribed as part of the G2/M transition of the mitotic cell cycle." [GOC:mtg_cell_cycle]	GO:0000117
GO:0000118	NA	Cellular Component	histone deacetylase complex	"A protein complex that possesses histone deacetylase activity." [GOC:mah]	GO:0032991;GO:0110165;GO:0043226;GO:0043227;GO:0005622;GO:0043229;GO:0043231;GO:0005634;GO:0140513;GO:1902494;GO:0031974;GO:0043233;GO:0070013;GO:0031981;GO:0005654;GO:0000118
GO:0000120	NA	Cellular Component	RNA polymerase I transcription regulator complex	"A transcription factor complex that acts at a regulatory region of a gene transcribed by RNA polymerase I." [GOC:mah]	GO:0032991;GO:0005667;GO:0110165;GO:0043226;GO:0043227;GO:0005622;GO:0043229;GO:0043231;GO:0005634;GO:0140513;GO:0043228;GO:0043232;GO:0031974;GO:0043233;GO:0070013;GO:0031981;GO:0005730;GO:0000120
